iter	Passed	Remaining
0	1	127
1	2	114
2	3	106
3	4	96
4	4	92
5	5	87
6	6	82
7	6	78
8	7	74
9	7	70
10	8	68
11	9	66
12	9	64
13	10	63
14	11	62
15	11	60
16	12	58
17	12	57
18	13	55
19	13	54
20	14	53
21	14	52
22	15	50
23	15	50
24	17	51
25	17	50
26	18	49
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	31
51	33	30
52	33	30
53	34	29
54	35	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
