iter	Passed	Remaining
0	142	142455
1	143	71637
2	145	48246
3	147	36642
4	150	29880
5	152	25252
6	155	22064
7	160	19895
8	162	17940
9	165	16366
10	167	15050
11	170	14000
12	172	13089
13	175	12333
14	177	11637
15	179	11021
16	181	10473
17	183	9989
18	185	9588
19	188	9252
20	191	8917
21	193	8620
22	196	8333
23	198	8058
24	200	7815
25	202	7588
26	205	7393
27	207	7210
28	209	7022
29	212	6854
30	214	6699
31	216	6538
32	218	6416
33	221	6296
34	224	6184
35	226	6067
36	228	5941
37	230	5824
38	231	5714
39	234	5624
40	236	5537
41	238	5446
42	240	5349
43	241	5256
44	243	5167
45	244	5078
46	246	4996
47	248	4922
48	249	4850
49	251	4780
50	253	4708
51	254	4635
52	255	4567
53	256	4499
54	258	4433
55	259	4372
56	260	4311
57	262	4258
58	264	4210
59	265	4159
60	267	4110
61	268	4060
62	269	4010
63	270	3962
64	272	3917
65	273	3872
66	275	3831
67	277	3797
68	278	3763
69	280	3729
70	282	3694
71	283	3655
72	285	3619
73	286	3585
74	287	3548
75	289	3514
76	290	3477
77	291	3443
78	293	3418
79	294	3390
80	296	3361
81	297	3330
82	298	3293
83	299	3264
84	300	3234
85	301	3205
86	302	3175
87	303	3147
88	304	3119
89	305	3092
90	307	3068
91	308	3046
92	310	3024
93	311	3001
94	312	2977
95	313	2953
96	314	2930
97	315	2907
98	316	2884
99	317	2861
100	319	2839
101	320	2818
102	321	2797
103	322	2779
104	324	2762
105	325	2746
106	326	2728
107	328	2710
108	329	2691
109	330	2673
110	331	2654
111	332	2635
112	333	2618
113	334	2601
114	335	2585
115	337	2569
116	338	2552
117	339	2537
118	340	2523
119	341	2507
120	342	2490
121	343	2473
122	344	2457
123	345	2442
124	346	2426
125	347	2411
126	348	2395
127	349	2380
128	350	2366
129	351	2352
130	352	2340
131	354	2327
132	355	2314
133	356	2303
134	357	2291
135	358	2278
136	359	2265
137	360	2253
138	361	2240
139	362	2227
140	363	2215
141	364	2200
142	365	2188
143	366	2176
144	366	2163
145	367	2152
146	369	2141
147	370	2131
148	371	2121
149	372	2111
150	373	2100
151	374	2089
152	375	2077
153	376	2066
154	377	2055
155	377	2044
156	378	2033
157	379	2022
158	380	2011
159	381	2000
160	381	1988
161	382	1977
162	383	1967
163	384	1958
164	385	1950
165	386	1941
166	387	1933
167	388	1925
168	389	1917
169	390	1908
170	391	1899
171	392	1890
172	394	1885
173	395	1876
174	396	1867
175	397	1858
176	397	1850
177	399	1843
178	400	1838
179	401	1831
180	403	1823
181	404	1815
182	405	1808
183	406	1801
184	407	1796
185	408	1788
186	409	1781
187	410	1773
188	411	1766
189	412	1758
190	413	1751
191	415	1746
192	416	1739
193	417	1733
194	418	1727
195	420	1723
196	421	1717
197	422	1710
198	423	1703
199	424	1696
200	425	1691
201	426	1685
202	427	1679
203	428	1672
204	430	1667
205	431	1662
206	433	1659
207	434	1653
208	435	1647
209	436	1641
210	437	1635
211	438	1630
212	440	1627
213	441	1622
214	442	1616
215	443	1611
216	445	1607
217	447	1603
218	448	1598
219	449	1593
220	450	1588
221	451	1583
222	453	1579
223	454	1575
224	455	1569
225	457	1565
226	458	1560
227	459	1556
228	461	1552
229	462	1547
230	463	1543
231	465	1539
232	466	1534
233	467	1529
234	468	1525
235	469	1520
236	470	1515
237	472	1511
238	473	1506
239	474	1501
240	475	1498
241	477	1494
242	478	1490
243	479	1485
244	480	1480
245	481	1475
246	482	1470
247	483	1466
248	484	1462
249	485	1457
250	486	1452
251	487	1447
252	488	1443
